南京 在 哪里	在 这里 了
额 麻麻 怎么 会 有 那 玩意儿	无法 理解 您 的话 获取 帮助 请 发送 help
在 上 一条 我 回复 你 你 怎么 不 回复 我	我 也 要 思考 啊 不能 随便 回 你 话 吧 那会 让 你 觉得 菲菲 好笨 的
求 勾引	如果 你 来 勾引 我 我 一定 假装 上当
说 不 粗来	乱 什么 呢
喜欢 毛线	最 喜欢 毛 鸭子 了 又 乖 又 听话 就 象 我 一样
刚才 还 说 女生	刚才 是 刚才 现在 是 现在 世事 都 是 会 变 的
起来	不 起床 就 会 变成 一个 大胖纸
是 我 的 错 没 给 你 吃药	错 了 应该 对 我 说 什么 不用 道歉
回家 见 基友	侯 老师 需要 她 想 让 她 留下来
就是 走 你	是 与 不是 有 什么 关系 呢
告诉 她 晚上 加油	与其说是 聊天 不如说是 问答式 的 吧
看来 你 很 爱 钱	噢 是 吗 那么 你 也 差不多 了
我 是 女 的 怎么 有 老婆	我 也 是 女 的 哦
哎 忘不了 怎么办	如果 你 忘不掉 过去 那 就 干脆 不要 忘记 了 埋 在 心底 作为 你 人生 故事 的 一部分
卖 你 妹 的 身	r 讲 粗口 不是 好孩子
貌似 喜欢 男人	嘿嘿 还好 菲菲 是 个 女生 不然 菲菲 这么 可爱 肯定 会 被 你 缠 上 的
必须 是 天下第一 傻	韩君哲
很快 就 能 见到 你 老婆 别急	詹天娇
你 会 死机 么	我 不 抠
是 啊 是 啊 宝宝 大人 最 可爱 啦 么	哦 哦
全世界 的 人 都 知道	废话 她 就是 火星 来 的
你 是 臭臭	我 是 金融
我 也 想 你	一定 要 想 哦 不许 骗菲菲
打死 你 敢骂 我	为什么 我 死 了 你 很 开心 吗
那 你 看到 留言 了 吗	我 不是 大便 我 的 粉丝 也 不是 苍蝇
黄黄	来 了 主人
玩玩 玩 就 知道 玩 面壁思过 去	抱歉 没能 为 您 找到 相关 的 信息
洗澡 么	等等 我
你 是 怎么 做到 和 那么 多人 同时 聊天 的	不 知道 问度 娘 去 咯
你 还 没 回答 我 得 问题	嗯
你 不会 也	不会 就 得 学呀
傻 逼 老子 睡 了	网友 你 可别 惹 我 哦
介绍	不要 介绍
别 跟 坏蛋 学	哦 好 吧 我 谁 都 不 跟
没事	哦 没事 就 好
我 很 后悔	世事 往往 如此 想 回头 也 已经 来不及 即使 你 肯 沦为 劣马 不 一定 有 回头草 在 等 着 你
你 说 你 是 天使	你 才 是
你 傻 你 傻	说 你 是 个 二愣子 那 都 是 在 表扬 你
都 是 善良 大美女	傻叉 的
去 吧 去 吧 白痴	我 的 聪明 不是 你 能 理解 的
你 长 的 喔 是 大饼 脸	菲菲 是 长 在 虚拟世界 里 的 你 不 可能 知道 我长 啥样
你 知不知道 下 一句 嘛	真蠢 连 这 都 不 懂
你 才 花痴	你 才 是
我 是 啊啊啊	发神经 了 你
我 当 你 爸爸 怎么样	face99 菲菲要 能 有 亲人 就 好 了
傻 逼 找 骂	face1 你 怎么 可以 这么 对 我 说话
耍 一个 看看 咯	恩打 嘛 打 嘛
你 有 英文名 吗	马能 一次 小燕 这 是 英文 看不懂 就算 了 face57
在 干嘛 吃饭 了 吗	我 吃 电 的 哦
你 是 哪个 星球 的	咳咳 我 是 聪明 与 智慧 并存 的 美女 您 可以 叫 我菲菲
那 你 给 我 买 包子 吃 吗	当然 必须 的
我 早 知道 了	那 你 怎么 不早 说
是 个 给	嘿嘿
那 你 是 男 的	要 检查 下 么 走进 房间
天蝎座	未 获取 到 相关 信息
可是 我 还 想 亲 嘛	他 不 爱 你
你 乖 不 给 麻麻 卖个 萌 呗	今天 这 天气 很 适合 聊天 的 说
你 是 公 那 蛋 是 哪来 的	菲菲 的 主人 是 梅州 行 网站 网址 mzxingcom
坏 哇	你 说 的 什么 哦 换种 说法 行 不
我 崽 还 不 睡觉	精神 着 呢 不想 睡
被 你 看 出来 了 我 今天 出门 吃药 了 呀	哦
你 喜欢 吃 什么 木耳	菲菲超 喜欢 吃零食 的 说 你 有 什么 好吃 的 么
撸 阿 撸 阿 撸 阿	英雄 联盟
