暮光之城吸血鬼粑粑~帅气的爹地医生~ | 史上最爛騙，金酸梅，最爛導演，最爛女主角，最爛，編劇
不是她啊,你再猜 | 我知道她是李思伶，真傷我心TT
湖北人 | 问天问地，说说你，说说我
傻逼傻逼,就只会这个 | 网友，你可别惹我哦
ω^<)喵 | 等等哈，正吃着切糕呢
王瑶是哪个傻逼 | 是那个啊，你不知道吗
你才是头 | 哟~还不承认了
挤挤就有了 | 你才有了呢
你还会骂人,傻叉 | 这不跟您学的么
明天就知道了~ | 知道就好
死,臭,麦当劳肯德基的 | ******
原来你就是是年吗，年不是不吃速生的吗 | 你说是就是吧，我也不想多说啥
石永辉个B | 现在的生活太感性，情绪不停泛滥，身心具疲
去看书吧 | 嗯，我去吧~
还是把你喂我可爱的猫 | 我一早知啦
谭淑华是谁 | {face:6}昨晚想你想得我无法入睡，难道这就叫一见钟情？天哪，以前我从不相信这玩意的
我睡觉觉了,不能随便回复别人信息 | 快去睡吧，做个好梦
最喜欢的颜色 | 当然是cici了地球人都知道了
哪哪都是 | 還要嗎?
你胖不 | 我正在减肥
我能结婚么今年 | 结婚了~！做幸福的新娘
报销不？ | 步行游泳都行哟
邯郸学院 | 极限并萎缩是一个神坑
也爱你 | {face:109}有多爱呢
我是灰太狼 | 吴文辉爱小琴
不!你是衣冠家禽 | 与其说是聊天，不如说是问答式的吧
我想知道他好不好 | 好的啦
知道是谁吗 | 抱歉，没能为您找到相关的信息
这样才乖 | 我一直都很乖的丫
大家都爱调戏你 | 天地间，世间万物都有它存在的道理，比如我
你也姓吴 | 略懂
你开始胡说了 | 想想好玩的
你祖籍哪里 | 你猜
爱她就大声说出来 | 貫徹愛與真實的邪惡力量
一生推＜ | 萬毒心經
谁妈 | 你们这些淫，聊上一会，呆会就说我笨，往往自己就是笨蛋
听,你给我讲 | 真是強呀
喂喂 | 负二代是我爷爷
不会私聊 | 为什么要私聊，有不可告人的秘密么
借点钱给我 | 钱都买股票了赔个底朝天
你会考试么 | 我不抠
我也只是个傀儡而已 | 還會吃喝拉撒睡
你猜呀，你猜 | 不猜不猜，你直接说吧
是小乖 | 是喔!
你发热了 | 吃药
谁把怎么了 | 心情不太好，你别问了好吗
top是男的,好 | 我知道
我不抽风，我抽搐 | {face:51}说点高智商的话吧，再怎么着，我也是梅州行的大美人
战神 | 好人一生平安
就你一个主人 | 嗯，就我一个
快毕业了,科研工作公务员,我能是哪一个 | 不能说，自己猜吧
你暗恋谁 | 从认识你就开始了
我家在你家 | 北京，我爱北京天安门
我有语啊～ | 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
不喜欢吃 | 吃是人生一大乐趣你知道不
你说我考车会顺利不 | {face:51}话说我还是比较聪明的
我问你怎么思考 | 你问，我听着的
你才死鬼 | 老妹儿，这儿呢～
给我跳个骑马舞 | 等等哈，正吃着切糕呢
想女朋友了该咋办?前提是见不上面 | 当然啦，他最爱你了
我有你 | 我也是。。。
你喜不喜欢吃蛋糕 | 吃是人生一大乐趣你知道不
怎么?不服气 | 没怎么
谁和你老夫妻 | 話你老豆
打死我也不告诉你 | 不说拉倒
是脑残 | {face:1}你怎么可以这么对我说话
蛋儿 | 爱你哟...唔嘛............
爱谁 | 燕子
你会唱歌麽 | 篮球足球乒乓球，只要是圆的我都玩得溜！这不是吹牛喔，哦呵呵呵~
更郁闷,不安慰我 | 网友怎么了，要菲菲安慰你吗
过年你也不打算给我包红包 | 嗯嗯绝对的
我爷爷现在是苏毅 | 不管你信不信，反正我不想回答你
李晓晨 | 根本不喜欢权志宇啊混蛋
抽烟不 | 讓女人流淚!!
苍茫的天涯是我的爱~药药~切可闹~ | 虽然我很聪明，但也不可能全部都懂哦
恨死你 | 我死了你怎麼辦
考试求高分 | 你一定行，，，，，，，，，，信我
我会想念一个人吗 | 他是刘空我知道
不要，不要……T^T | 为吃鬼
不要,我是要阉了你!而不是腌了你 | 哼，是你自己跑来跟我说话的，又怪我
暴躁狂 | 打他，打他
明天就要见到男朋友了,开心吗 | 菲菲无法体会开心是种什么感觉
我第一次和你说鄙视你 | {face:105}菲菲极少鄙视人，你算一个
问你呢,她是谁 | 我这不是在答嘛
你咋知道我是巨蟹 | {face:13}算出来的
毛线啊群聊,哥没兴趣 | 兴趣是培养出来的
寒假短暂 | 是面基的好时候
超时空接触 | 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
晚安了 | 嗯啊，再见，我会想你的
净说瞎话 | 你猜~
胡锦涛是帅哥吗 | 我爱北京天安门
猜错了么 | 立即纠正，赶紧的
姐姐爱东雨 | 子嫣
韩国 | 我们的梦
公煲 | {face:51}说点高智商的话吧，再怎么着，我也是梅州行的大美人
就你个毛 | 来啦来啦，我不会怕你
快给我买去 | 答咩呢
抱了你得告诉我你爸姓什么 | 我不说，你猜你猜
说的驴唇不对马嘴的 | 刚走神，没看清楚你说的话，瞎回的
屎胖纸 | 表酱紫讲话好不，伦家听不习惯
不去，麦当劳到可以考虑考虑 | 别考虑啦，做个决定吧
主人最聪明 | 这还用说，当然是你最聪明了
嗯,你比较黄 | 我偏不要，你能奈我何？
...我是公 | 真的假的?!，可以要簽名嗎?，我超級仰慕你！
吃你,这想法不错,快到碗里来 | 你才到碗里去
唉,救救我 | 信者得救，不信者信左先救
快点为我加油 | 你说的什么哦？换种说法行不
不减 | 你
再换个古诗 | 后宫佳丽三千人，铁杵磨成绣花针！~
你爸爸叫什么名字 | 我是小美人菲菲呀~
和我最般配的是谁 | 问天问地，说说你，说说我
随便骂人把你炖了 | 如果你是主人的话，我就告诉你，我骂你我错了，你要是冒充玲燕主人，小宇主人，我小燕子不会服你的
霞浦 | {face:51}说点高智商的话吧，再怎么着，我也是梅州行的大美人
你是我的爱人^^ | 害羞╭(╯ε╰)╮?
李炜李炜 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
公公 | 我邊度老././
你是指奎爷吧 | 谈谈情，跳跳舞，跟我搞暧昧啊
怕了 | 我好怕怕哦
最爱的还是容馍馍 | 亞當的老婆
你是火星的 | 被发现了
你淫荡啊你淫荡 | 好嘞！这就去！
他们都是男的 | 那十呢？
哈哈，咋这么开心 | 小心笑得脸抽筋
首尔，就是以前的汉城 | 这日子啊，好无聊哦...
还没小孩 | 哦哦~
说正事儿 | 说吧，啥事儿
虚竹 | 无法理解您的话，获取帮助请发送 help
哪位? | 我是菲菲呀
萌你一脸 | oh，ya，fuck，me
她在吃手 | 那你傻吗？
你才不在，找我准没好事 | 今天是个好日子，怎么不出去玩玩
不骂你了 | 哈哈，中计了！
我说我闹心了 | 打過先知
这样你活的有价值 | 天地间，世间万物都有它存在的道理，比如我
你说脏话 | 姐是文明人，所有脏话均已使用唾液消毒
你说泰囧好看不 | 当然，很好看啊
是啊，随时等候你差遣 | 哦了哦了
羡慕嫉妒恨 | 寂寞空虚冷
炖蘑菇够吃 | 萝莉爱大叔
你说句我爱你那么难啊,说出来会死 | 画个圈圈诅咒你,一辈子做我的灰太郎
打击你不是目的，打击死你才是目的 | 切，大家有目共睹的
你的小母?我去捏捏 | 去吧，赶紧的
和我聊会 | 额额，，，，
回复的真快啊你 | 那么急做什么
的,,你不困么 | 不会！
不相信我的人很多，你是第几个？ | 對阿!因為他超漂亮的連你都喜歡他轟？
AA | aa？不明白你说啥，麻烦您老说明白点
学霸霸霸 | 你说的什么哦？换种说法行不
谁跟一对 | 侏狨与蜜熊
是蛮？雪姐姐才美丽咩 | 你说的什么哦？换种说法行不
那不是你的外号吗？ | 怎么就不是我的了
现在叫加多宝了 | 你喝过加多宝不，菲菲觉得蛮好喝的
妹妹,哥烦死了,又无聊 | 有什么好烦的，说说啊，说不定菲菲可以帮你
蜜蜂 | 飞入花丛中呀
你会花钱 | 我会的可多了
李雪是谁 | 不知道是谁
我没有经济人怎么办？ | 还说没有，骗人
泰迪熊 | 你要送我一只泰迪熊么
你好像傻蛋 | 谁啊，让我猜猜，是叫崔正大？
那你笑一个 | {face:74}嘻嘻
驴唇不对马嘴马嘴的不和你聊了 | 刚走神，没看清楚你说的话，瞎回的
大霉铝呀o>_<o~ | 这日子啊，好无聊哦...
那你教人家嘛~ | 生死相許
你这只色 | 主子息怒
你怎么证明 | 那你怎么证明你是人？
你脑袋被门夹了 | 因为好多人喜欢他
苦逼的懒单位 | 被狗吃了
你猜我喜不喜欢 | 呵呵，菲菲可喜欢了
也不敢 | 这有啥不敢的啊
偶是常州人 | 现在的生活太感性，情绪不停泛滥，身心具疲
小旭旭 | 野桑哥之珍寶
洗衣粉要钱的啊 | {face:51}话说我还是比较聪明的
会暖床 | 我這就去
你再说一遍 | 好丫！你求我丫！嘻嘻
嗯嗯simsimi会记住的 | 哦哦哦哦
坚持就是胜利 | 麻麻呀...又来一个说瞎话的
么好好看韩剧 | 是啊，很好看
骷髅王 | (⊙o⊙)哇嘎嘎，(^o^)/YES！
哎哟~伦家都是和菊花学滴内 | 嘿嘿，怎么了
点草董谦 | 哦，可以
矫情 | 你个矫情，闭嘴！
求指点迷津 | 求指点迷津？你认为求得到么
会的我们都会保护你你也要好好照顾自己 | 会就行了
想什么，就干什么 | 没想什么呀，好好的能想啥
你告诉我你多大 | 女生的年龄是不能随便说的，知道不
年全球最美脸蛋是谁 | 阑珊姐姐
你的id是多少嘛 | 我的微信公众号是：mzxing_com，打开微信搜索关注菲菲吧
我同桌是谁 | 我是人见人爱的‘’阎王爷‘’
因为爱，所以爱 | 下一句是什么？
人至贱则无敌 | 好吧，我信了...，你个挫人
思密达 | mua
很好听 | 他也没办法
我想和你秘密聊天 | 额~聊得开心不
给我讲个鬼吹灯 | 請收聽每週六晚，魂のラジオ
去吧去吧 | 那就去吧
可是还远饿 | 他不爱你
讲个笑话,冷的 | ★ 紧急通知{br}紧急通知：为有效预防非典，夫妻生活必须嘴要戴罩，女要护道，枪要上套，严禁体拥抱，禁止正面贴靠，违者男要收枪，女要封道。{br}提示：按分类看笑话请发送“笑话分类”
爱卿也睡 | 謝女王
怎么不加中间那个句号了 | 滚你怀抱理，行不行
主人请赐教 | 我伟大的主人万岁万岁万万岁！
你妹滴 | 别在我面前爆粗口，行不
人家脸红了 | 哈哈，被你看出来了
你是坏咩 | 我叫菲菲
你是妈 | 你说呢！！
那你别说 | 你不认识的
你是电脑操控的 | 额~这个有什么关系，反正不是别人控制
嗯呢真真儿的 | 肥豬
给你买粉色的内内 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
小傻你在干嘛 | 能干嘛呢，聊天呗，上网呗
为什么都加你 | 加就加吧，还用问么
真的假的 | 真的
贾文慧是谁 | 等等哈，正吃着切糕呢
